episode,step,timestamp,task_id,agent_id,state,action
1,3,1743066651.240206,620,1,"[12.471665382385254, 99.4787826538086]",9
1,3,1743066651.240206,620,2,"[43.0, 255.0]",1
1,3,1743066651.240206,620,3,"[6.0, 34.0]",1
1,3,1743066651.240206,620,4,"[18.0, 242.0]",9
1,3,1743066651.2412057,620,5,"[4.511384963989258, 5.624573230743408]",2
1,4,1743066651.2537203,182,0,"[48.54599380493164, 10.649519920349121]",5
1,4,1743066651.2537203,182,1,"[2.817143678665161, 39.36528778076172]",7
1,4,1743066651.2537203,182,2,"[43.0, 255.0]",8
1,4,1743066651.2547193,182,3,"[6.0, 34.0]",5
1,4,1743066651.2547193,182,4,"[18.0, 242.0]",1
1,4,1743066651.2547193,182,5,"[4.511384963989258, 5.624573230743408]",9
1,5,1743066651.265715,379,0,"[48.54599380493164, 10.649519920349121]",2
1,5,1743066651.265715,379,1,"[2.817143678665161, 39.36528778076172]",4
1,5,1743066651.2667181,379,2,"[39.75227355957031, 148.0905303955078]",5
1,5,1743066651.2667181,379,3,"[6.0, 34.0]",8
1,5,1743066651.2667181,379,4,"[18.0, 242.0]",3
1,5,1743066651.2667181,379,5,"[4.511384963989258, 5.624573230743408]",6
1,6,1743066651.2797153,294,0,"[48.54599380493164, 10.649519920349121]",8
1,6,1743066651.280718,294,1,"[2.817143678665161, 39.36528778076172]",5
1,6,1743066651.280718,294,2,"[37.152870178222656, 26.959238052368164]",6
1,6,1743066651.280718,294,3,"[6.0, 34.0]",6
1,6,1743066651.280718,294,4,"[18.0, 242.0]",3
1,6,1743066651.280718,294,5,"[4.511384963989258, 5.624573230743408]",8
1,7,1743066651.294717,771,0,"[48.54599380493164, 10.649519920349121]",2
1,7,1743066651.294717,771,1,"[2.817143678665161, 39.36528778076172]",8
1,7,1743066651.294717,771,2,"[27.30603790283203, 16.117244720458984]",6
1,7,1743066651.294717,771,3,"[6.0, 34.0]",6
1,7,1743066651.294717,771,4,"[18.0, 242.0]",2
1,7,1743066651.294717,771,5,"[4.511384963989258, 5.624573230743408]",4
1,8,1743066651.3077173,889,0,"[48.54599380493164, 10.649519920349121]",7
1,8,1743066651.3087187,889,1,"[2.817143678665161, 39.36528778076172]",7
1,8,1743066651.3087187,889,2,"[27.30603790283203, 16.117244720458984]",3
1,8,1743066651.3087187,889,3,"[6.0, 34.0]",7
1,8,1743066651.3087187,889,4,"[8.550827980041504, 187.1010284423828]",9
1,8,1743066651.3087187,889,5,"[4.511384963989258, 5.624573230743408]",1
1,9,1743066651.3207197,711,0,"[48.54599380493164, 10.649519920349121]",3
1,9,1743066651.3207197,711,1,"[2.817143678665161, 39.36528778076172]",7
1,9,1743066651.3207197,711,2,"[27.30603790283203, 16.117244720458984]",5
1,9,1743066651.3207197,711,3,"[6.0, 34.0]",5
1,9,1743066651.3207197,711,4,"[4.488175868988037, 87.32264709472656]",5
1,9,1743066651.3217187,711,5,"[4.511384963989258, 5.624573230743408]",1
1,10,1743066651.3377256,947,0,"[48.54599380493164, 10.649519920349121]",4
1,10,1743066651.3377256,947,1,"[2.817143678665161, 39.36528778076172]",4
1,10,1743066651.3387275,947,2,"[27.30603790283203, 16.117244720458984]",1
1,10,1743066651.3387275,947,3,"[6.0, 34.0]",6
1,10,1743066651.3387275,947,4,"[4.488175868988037, 87.32264709472656]",5
1,10,1743066651.3387275,947,5,"[4.511384963989258, 5.624573230743408]",9
1,11,1743066651.3512363,932,0,"[48.54599380493164, 10.649519920349121]",6
1,11,1743066651.3512363,932,1,"[2.817143678665161, 39.36528778076172]",6
1,11,1743066651.3522363,932,2,"[27.30603790283203, 16.117244720458984]",2
1,11,1743066651.3522363,932,3,"[3.2291502952575684, 26.49860954284668]",5
1,11,1743066651.3522363,932,4,"[4.488175868988037, 87.32264709472656]",4
1,11,1743066651.3522363,932,5,"[4.511384963989258, 5.624573230743408]",7
1,12,1743066651.366238,276,0,"[48.54599380493164, 10.649519920349121]",8
1,12,1743066651.366238,276,1,"[2.817143678665161, 39.36528778076172]",5
1,12,1743066651.367237,276,2,"[27.30603790283203, 16.117244720458984]",3
1,12,1743066651.367237,276,3,"[3.2291502952575684, 26.49860954284668]",7
1,12,1743066651.367237,276,4,"[4.488175868988037, 87.32264709472656]",9
1,12,1743066651.367237,276,5,"[4.511384963989258, 5.624573230743408]",2
1,13,1743066651.3812385,665,0,"[48.54599380493164, 10.649519920349121]",1
1,13,1743066651.3812385,665,1,"[2.817143678665161, 39.36528778076172]",8
1,13,1743066651.3812385,665,2,"[27.30603790283203, 16.117244720458984]",4
1,13,1743066651.3812385,665,3,"[3.2291502952575684, 26.49860954284668]",9
1,13,1743066651.3812385,665,4,"[4.488175868988037, 87.32264709472656]",7
